식품명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),칼륨(mg),칼슘(mg),철(mg),비타민 A(μg RAE),비타민 C(mg),비타민 D(μg),포화지방산(g),콜레스테롤(mg)
상추겉절이,21,26.3,0.89,0.69,3.39,1.59,123.0,154.0,27.0,0.57,74.0,0.42,0.0,0.11,0.0
샐러드_마카로니,140,24.0,2.37,8.17,13.76,2.72,124.0,84.0,13.0,0.29,15.0,2.98,0.0,1.24,3.56
샐러드_옥수수,131,54.2,1.32,8.5,12.51,4.09,170.0,140.0,12.0,0.27,18.0,6.14,0.0,1.27,2.75
얼갈이겉절이,25,44.5,1.14,0.71,4.09,1.62,229.0,153.0,82.0,0.34,74.0,8.97,0.0,0.12,0.03
오이생채_오이,30,63.9,1.24,0.48,6.21,3.64,258.0,184.0,16.0,0.28,19.0,6.83,0.0,0.08,0.0
오이생채_오이_부추,36,77.1,1.72,0.95,6.4,3.25,257.0,213.0,22.0,0.79,25.0,7.75,0.0,0.16,0.0
오이지무침,28,46.8,0.76,1.09,4.3,2.15,774.0,84.0,26.0,0.33,12.0,0.21,0.0,0.17,0.0
오징어무침_채소,51,45.6,5.49,0.82,5.8,3.11,198.0,194.0,13.0,0.23,27.0,2.69,1.53,0.17,58.57
오징어채무침_채소,113,55.5,11.61,1.81,13.52,6.93,363.0,306.0,34.0,0.88,48.0,8.13,3.24,0.31,44.2
참나물겉절이_고춧가루,18,24.2,0.74,0.6,2.91,1.1,143.0,168.0,16.0,0.39,42.0,1.07,0.0,0.1,0.02
청포묵무침,43,61.4,1.3,1.68,6.54,0.72,282.0,55.0,11.0,0.23,25.0,1.8,0.03,0.27,5.92
치커리겉절이,22,22.4,0.72,0.73,3.51,1.89,160.0,108.0,19.0,0.4,44.0,0.69,0.0,0.12,0.0
파래무침_파래_무,23,60.6,1.07,0.38,4.86,2.62,220.0,146.0,26.0,1.22,6.0,12.58,0.0,0.07,0.0
짜장소스,100,62.9,4.38,3.64,12.86,4.16,541.0,234.0,24.0,0.48,28.0,8.1,0.08,0.68,6.95
카레소스,66,40.0,2.78,2.07,9.9,2.66,175.0,180.0,16.0,0.55,34.0,5.05,0.02,0.71,3.38
고구마줄기나물,22,33.7,0.56,1.13,2.45,0.39,178.0,180.0,38.0,0.24,5.0,0.85,0.0,0.17,0.0
배추나물_간장_소금,18,66.7,1.01,0.73,2.45,0.71,262.0,132.0,109.0,0.31,66.0,13.45,0.0,0.11,0.0
배추나물_된장,32,68.1,1.72,1.25,4.25,1.76,273.0,182.0,87.0,0.5,58.0,12.93,0.0,0.2,0.0
숙주나물_숙주,15,50.5,1.05,0.74,1.53,0.04,168.0,52.0,10.0,0.16,1.0,3.81,0.0,0.12,0.0
숙주나물_숙주_채소,15,49.1,0.97,0.68,1.66,0.27,175.0,57.0,10.0,0.15,14.0,3.79,0.0,0.11,0.0
숙주미나리나물,18,52.9,1.11,0.85,1.97,0.4,165.0,76.0,14.0,0.19,16.0,4.15,0.0,0.14,0.0
시금치나물_간장_소금,25,50.9,1.6,1.0,3.26,0.95,217.0,454.0,26.0,0.71,228.0,23.84,0.0,0.16,0.0
열무나물_된장,30,69.5,2.19,1.15,3.61,0.92,273.0,274.0,112.0,1.31,159.0,5.28,0.0,0.18,0.0
유채나물_간장_소금,22,43.9,2.1,0.82,2.68,0.46,195.0,210.0,83.0,0.71,113.0,28.25,0.0,0.13,0.0
참나물,14,35.1,0.72,0.56,1.94,0.2,129.0,219.0,23.0,0.53,51.0,1.48,0.0,0.09,0.0
취나물_간장_소금,25,23.1,1.04,1.01,3.7,0.58,134.0,158.0,41.0,1.37,60.0,3.23,0.0,0.14,0.0
골뱅이무침_채소,69,60.4,5.98,0.84,10.29,6.24,386.0,182.0,28.0,0.61,48.0,5.65,0.4,0.14,18.48
단무지무침,41,99.0,1.02,1.78,5.51,2.27,611.0,118.0,32.0,0.51,17.0,18.08,0.0,0.29,0.0
도라지생채_오이,41,55.2,1.3,0.52,8.79,3.9,220.0,184.0,20.0,0.3,27.0,4.83,0.0,0.09,0.0
도토리묵무침_채소,60,80.6,1.28,1.2,11.66,2.09,322.0,135.0,24.0,0.51,41.0,1.32,0.0,0.19,0.0
돌나물,44,45.8,1.16,1.04,8.68,4.22,226.0,150.0,77.0,0.48,60.0,39.29,0.0,0.17,0.0
마늘쫑무침,67,44.8,1.63,1.14,14.55,6.32,281.0,187.0,30.0,0.45,48.0,20.9,0.0,0.2,0.0
무생채_식초,35,71.5,1.01,0.8,6.59,3.39,261.0,256.0,24.0,0.29,15.0,6.27,0.0,0.13,0.0
무생채(무만),30,65.5,1.03,0.56,5.77,2.57,249.0,253.0,22.0,0.32,18.0,6.0,0.0,0.09,0.0
미역초무침,31,32.7,1.48,0.71,6.85,3.32,406.0,199.0,71.0,0.61,60.0,5.31,0.0,0.13,0.0
부추무침_부추,24,30.1,1.02,0.74,3.95,2.11,156.0,69.0,13.0,1.0,13.0,1.63,0.0,0.12,0.0
부추무침_부추_채소,30,30.0,1.16,1.13,4.43,2.31,190.0,93.0,15.0,0.94,31.0,1.55,0.0,0.18,0.0
마늘쫑볶음_건새우,53,23.9,2.67,2.56,5.31,2.01,287.0,94.0,157.0,0.73,10.0,11.47,0.01,0.39,12.63
미역줄기볶음_미역줄기,31,35.7,0.59,2.55,2.71,0.26,1251.0,45.0,36.0,0.19,2.0,0.22,0.0,0.38,0.0
새송이버섯볶음_새송이버섯_채소,32,49.5,1.44,1.95,4.13,0.97,163.0,158.0,9.0,0.22,14.0,3.82,0.0,0.29,0.0
소시지볶음_채소,119,41.2,5.74,7.61,6.78,2.19,391.0,179.0,15.0,0.33,17.0,17.33,0.07,2.23,22.58
순대볶음,89,40.8,2.89,4.17,10.69,2.57,259.0,143.0,25.0,2.49,30.0,2.77,0.0,1.46,2.06
순대볶음_떡,92,40.5,2.74,3.42,13.27,2.29,216.0,130.0,23.0,2.08,27.0,2.81,0.0,1.21,1.7
어묵볶음_어묵_채소,88,36.0,4.25,3.57,10.04,2.7,360.0,92.0,22.0,0.3,28.0,2.28,0.0,0.58,6.4
오징어볶음_채소,82,57.2,8.49,2.0,7.65,3.22,271.0,253.0,16.0,0.28,30.0,3.28,2.42,0.37,92.35
